eval_set,method,display_name,model_family,input_modalities,n_cases,dice_mean,dice_median,lesion_f1_mean,lesion_recall_mean,surface_dice_3mm_mean,hd95_mm_mean,abs_volume_diff_ml_mean,status,notes
atlas_r21_fold0_val,nnunet_atlas_t1w,"nnU-Net v2 3D fullres (ATLAS R2.1, fold 0, 250ep, T1w)",nnunet,T1w,194,0.639727357052749,0.7249172318770547,0.6539910326853,0.7497105390790957,0.7560157773440942,18.761300065331927,5.0352872122056604,complete,"in-distribution held-out: the 194 fold-0 validation cases never seen during training; no skull-strip/registration needed (ATLAS T1w already brain-extracted, GT is T1w-native)"
atlas_r30_5fold_cv,nnunet_r30_1000ep_cv,"nnU-Net R3.0 default 1000ep, 5-fold CV",nnunet,T1w,1450,0.6527549818342588,0.7634066377355451,,,,,,complete,full default schedule; +1.55 Dice points over 250ep on the same 1450-case CV
atlas_r30_5fold_cv,nnunet_r30_250ep_cv,"nnU-Net R3.0 default 250ep, 5-fold CV",nnunet,T1w,1450,0.6372425853028133,0.7438088329007804,,,,,,complete,baseline 250-epoch 5-fold out-of-fold CV over 1450 usable converted R3.0 cases
atlas_r30_5fold_cv,nnunet_r30_topk10_cv,"nnU-Net R3.0 Dice+TopK10 1000ep, 5-fold CV",nnunet,T1w,1450,0.655126895313782,0.763121108145889,,,,,,complete,current best in-distribution model; MAPPING-style Dice+TopK10 hard-example loss
soop_bench,deepisles,DeepISLES ensemble (SEALS+NVAUTO+SWAN),ensemble,DWI+ADC+FLAIR,12,0.5394755765489531,0.7041470161814455,0.5817293817293818,0.5837301587301588,0.7626750765110881,18.928527360589015,18.893965178392303,complete,pretrained apptainer ensemble; consumes the DWI/ADC/FLAIR modalities the soop_bench GT is defined on
soop_bench,empty,Empty (all-background prediction),sanity,,12,0.0,0.0,0.0,0.0,,,41.573125354542,complete,lower-bound sanity check: null prediction (Dice 0); confirms metrics handle empty masks
soop_bench,nnunet_atlas_t1w,"nnU-Net v2 3D fullres (ATLAS R2.1, fold 0, 250ep, T1w)",nnunet,T1w,12,0.18763157337417524,0.0,0.20055555555555551,0.15357142857142858,0.19974279740922266,50.53075552186109,25.749708903767992,complete,"single fold, reduced 250-epoch schedule, no TTA, no ensemble; T1w prediction warped to TRACE space via ANTs rigid registration"
soop_bench,nnunet_r30_250ep_soop,"nnU-Net R3.0 default 250ep, 5-fold+TTA on soop_bench",nnunet,T1w,12,0.25459163825587244,0.03640052166352702,0.23943001443001444,0.18875661375661376,0.3016943122611373,45.77647549356405,20.469613802787396,complete,"T1w-only OOD proxy; R3.0 includes SOOP-source subjects, so this can be optimistic"
soop_bench,ood_blend_r30_1000ep_synthplus,OOD blend: R3.0 1000ep nnU-Net + synth-plus T1w,ensemble,T1w,12,0.28841946547627145,0.19931588121097427,,,,,,complete,exploratory T1w probability blend; weight/threshold selected on this same 12-case soop_bench grid
soop_bench,ood_blend_r30_250ep_synthplus,OOD blend: R3.0 250ep nnU-Net + synth-plus T1w,ensemble,T1w,12,0.28862729583285057,0.20214022252841274,,,,,,complete,exploratory T1w probability blend; weight/threshold selected on this same 12-case soop_bench grid
soop_bench,oracle,Oracle (GT as prediction),sanity,,12,1.0,1.0,1.0,1.0,1.0,0.0,0.0,complete,upper-bound sanity check: ground truth copied as prediction (Dice should be ~1.0)
