case_id,used_members,missing_members,n_members,prediction
ATLAS_0007,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0007.nii.gz
ATLAS_0008,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0008.nii.gz
ATLAS_0012,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0012.nii.gz
ATLAS_0013,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0013.nii.gz
ATLAS_0020,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0020.nii.gz
ATLAS_0024,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0024.nii.gz
ATLAS_0029,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0029.nii.gz
ATLAS_0031,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0031.nii.gz
ATLAS_0041,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0041.nii.gz
ATLAS_0046,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0046.nii.gz
ATLAS_0051,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0051.nii.gz
ATLAS_0053,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0053.nii.gz
ATLAS_0060,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0060.nii.gz
ATLAS_0067,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0067.nii.gz
ATLAS_0070,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0070.nii.gz
ATLAS_0076,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0076.nii.gz
ATLAS_0082,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0082.nii.gz
ATLAS_0087,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0087.nii.gz
ATLAS_0094,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0094.nii.gz
ATLAS_0098,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0098.nii.gz
