thr,cc,mean_dice,mean_lesion_f1,pooled_small_recall_0_1ml,recall_passes_filter,n_cases
0.3,0,0.2265279911578047,0.0014275997415933782,0.28463476070528965,True,194
0.3,5,0.2458858357006273,0.01587946721797525,0.24685138539042822,True,194
0.3,10,0.25383460173267924,0.049024171978278325,0.22670025188916876,True,194
0.3,20,0.2554634473878244,0.07461734768996797,0.2216624685138539,True,194
0.3,50,0.2575177240164625,0.11271002364087414,0.19143576826196473,False,194
0.4,0,0.26258096623912025,0.004534682064248904,0.23173803526448364,True,194
0.4,5,0.2768528523120894,0.06030522786372886,0.21914357682619648,True,194
0.4,10,0.28006197310836456,0.10915398913576703,0.21662468513853905,True,194
0.4,20,0.28082789572119216,0.13607854914535678,0.20151133501259447,False,194
0.4,50,0.28193827840892643,0.17134078333794103,0.17884130982367757,False,194
0.5,0,0.2860629387768295,0.012959736063296427,0.2141057934508816,True,194
0.5,5,0.29467186181395855,0.10958527753537664,0.20151133501259447,False,194
0.5,10,0.2954072217583898,0.14722009201137284,0.19143576826196473,False,194
0.5,20,0.2957914765053242,0.17640833876681697,0.17380352644836272,False,194
0.5,50,0.29624357073546886,0.21700500836481024,0.15869017632241814,False,194
0.6,0,0.300860999011202,0.04230881409043888,0.18639798488664988,False,194
0.6,5,0.3046075175757198,0.1507777860267867,0.17884130982367757,False,194
0.6,10,0.3048644656314711,0.17902453464767787,0.163727959697733,False,194
0.6,20,0.3049863434035978,0.2075713114185885,0.15365239294710328,False,194
0.6,50,0.30555096727157127,0.24740444031140305,0.1385390428211587,False,194
