site,n,dice_lesion_ml_median,lesion_ml_p95,empty_lesion,vox_mm3_median,iso_1mm_frac,cc_median,cc_p95,days_post_stroke_median,chronic_frac
R009,111,1.1069,47.09485,0,0.999901,1.0,2.0,8.5,426.0,0.5495495495495496
R038,94,4.6075,116.4638499999999,0,1.0,1.0,2.0,6.0,100.0,0.19148936170212766
R040,86,16.10055,225.553975,0,1.0,1.0,1.0,4.0,74.0,0.20930232558139536
R047,48,10.58035,154.60340499999998,0,1.1,0.0,2.0,6.649999999999999,1024.0,0.9583333333333334
R048,44,8.4665,165.44320000000002,0,1.0,1.0,1.0,6.0,1404.0,1.0
R001,38,4.4719999999999995,81.27509999999998,0,1.0,1.0,2.0,7.149999999999999,697.5,1.0
R004,37,40.006,140.69539999999947,0,1.0,0.9459459459459459,2.0,4.0,1701.0,0.5405405405405406
R031,37,6.734,117.58819999999974,0,1.0,1.0,3.0,8.599999999999987,138.0,0.02702702702702703
R042,35,11.294,154.22970999999998,0,1.0,1.0,2.0,9.299999999999997,728.0,0.9714285714285714
R005,34,1.8515000000000001,161.18674999999985,0,1.0,1.0,1.0,4.0,984.5,0.9705882352941176
R052,32,6.018,124.02537499999998,0,1.0,1.0,2.0,9.0,1180.5,1.0
R027,32,11.163499999999999,175.93883499999995,0,0.99992,0.59375,1.0,4.449999999999999,610.0,0.90625
R011,29,0.904,3.9205999999999994,0,1.0,1.0,1.0,3.0,,0.0
R010,26,0.683,6.4085,0,1.0,1.0,2.0,3.75,,0.0
R028,25,3.737,60.51439999999999,0,1.0,1.0,1.0,2.799999999999997,620.0,0.96
R034,24,2.37,54.94819999999998,0,1.0,1.0,1.0,4.0,1506.5,1.0
R049,24,0.8269,30.23376,0,3.375,0.0,2.0,5.849999999999998,0.0,0.0
R015,23,19.1065,111.44980999999996,0,0.25,0.0,3.0,10.699999999999996,,0.0
R024,21,3.708,80.0798,0,1.0,1.0,3.0,27.0,518.5,1.0
R017,16,16.92905,95.429675,0,1.000001,1.0,2.5,15.0,730.0,0.9375
R035,15,2.9306,89.95721999999999,0,0.249975,0.0,2.0,7.299999999999988,1006.5,1.0
R023,15,49.8172,172.14489,0,0.214577,0.0,2.0,11.899999999999986,,0.0
R003,15,15.334,155.21939999999998,0,1.0,1.0,1.0,3.0,1464.0,1.0
R050,14,0.24575000000000002,9.399379999999994,0,2.204047,0.0,1.5,4.0,0.0,0.0
R019,14,2.4395,31.698414999999983,0,0.953674,1.0,2.0,11.049999999999999,31.5,0.0
R046,13,3.3684,99.2109399999999,0,0.512,0.0,1.0,2.3999999999999986,2589.0,1.0
R002,12,21.338,80.74809999999994,0,1.0,1.0,1.5,5.799999999999997,2196.0,1.0
R018,11,41.404,87.79679999999999,0,1.0,1.0,1.0,2.5,836.0,1.0
R014,9,0.125,0.3579999999999999,0,0.999999,1.0,2.0,2.5999999999999996,,0.0
R029,9,4.613,85.98479999999998,0,1.0,1.0,2.0,5.999999999999998,365.0,0.8888888888888888
R039,4,1.47145,156.40023499999995,0,1.031494,1.0,1.0,1.0,5.5,0.0
R044,4,18.6465,106.02324999999996,0,1.0,1.0,2.0,3.0,1311.5,1.0
R045,4,6.1645,9.621129999999999,0,0.512,0.0,1.0,2.6999999999999993,2882.25,1.0
